case_id,fold,root_service,fault_type,root_rank
re2ob-0433b8cb47b1ec8e,0,currencyservice,mem,2
re2ob-08f3e5d7b11d1fa7,0,productcatalogservice,delay,1
re2ob-097a5d7ac0492007,0,emailservice,cpu,1
re2ob-1084f320d8584c61,0,emailservice,disk,1
re2ob-1bb2e75872fd9037,0,productcatalogservice,loss,1
re2ob-1d19cc60d7a6adc1,0,checkoutservice,socket,1
re2ob-35bd9974d6b59069,0,recommendationservice,disk,1
re2ob-3758cb8f0f1277f3,0,recommendationservice,mem,1
re2ob-435f42d94b785472,0,emailservice,socket,1
re2ob-45687a171f241b04,0,productcatalogservice,disk,1
re2ob-4677d4ce6ef327e0,0,emailservice,delay,1
re2ob-5a4d1a4785969ab2,0,currencyservice,disk,1
re2ob-66c4b614046569c9,0,checkoutservice,disk,1
re2ob-784d7eb25137c3c9,0,productcatalogservice,mem,1
re2ob-79fcefff48aef53b,0,checkoutservice,delay,3
re2ob-7f2201e9884e818e,0,checkoutservice,loss,1
re2ob-84724d7aa2b9dabd,0,recommendationservice,cpu,1
re2ob-97935dcb7cfd6e82,0,emailservice,mem,1
re2ob-9e575f44de987a1a,0,checkoutservice,cpu,1
re2ob-a84cfdf477d8bf62,0,currencyservice,loss,6
re2ob-b17ce68eb2ce01ee,0,checkoutservice,mem,1
re2ob-bb4a5b75716772f9,0,emailservice,loss,1
re2ob-bd6f4fb8e84ccb69,0,currencyservice,socket,2
re2ob-c9c8f348d3f5974b,0,recommendationservice,loss,1
re2ob-ca26cbb7c2cc0c87,0,recommendationservice,delay,1
re2ob-cec5183e3f5418cf,0,currencyservice,cpu,1
re2ob-d3f1403a4a08a3b1,0,productcatalogservice,cpu,1
re2ob-e849d2be7be5c713,0,recommendationservice,socket,1
re2ob-f874f110aae8efa9,0,currencyservice,delay,1
re2ob-f88fc943d724a354,0,productcatalogservice,socket,1
re2ob-048f2e7d7bfbc927,1,emailservice,socket,1
re2ob-1d9a0d1641171551,1,checkoutservice,mem,1
re2ob-23213ee605c6b050,1,emailservice,disk,1
re2ob-3827c8c9ef1e8592,1,currencyservice,loss,2
re2ob-3e7e71a1c83dbc41,1,currencyservice,socket,3
re2ob-40e1893e43abba5c,1,currencyservice,delay,1
re2ob-4b9110d974bb1875,1,checkoutservice,delay,2
re2ob-505f802370635ec3,1,checkoutservice,cpu,4
re2ob-57b75da971aabed5,1,emailservice,cpu,1
re2ob-58cff4fc86081830,1,recommendationservice,socket,1
re2ob-58eb5ae1a41b77e4,1,productcatalogservice,mem,1
re2ob-5f261573c1b3bdc5,1,currencyservice,mem,2
re2ob-6521847c78ca06e9,1,recommendationservice,delay,2
re2ob-71c7f9be34b19754,1,checkoutservice,socket,2
re2ob-7732042f2a190c79,1,productcatalogservice,cpu,1
re2ob-7a91adc6e16587c6,1,recommendationservice,disk,1
re2ob-7aec8ac514e0d064,1,checkoutservice,disk,1
re2ob-7c278a568194196b,1,checkoutservice,loss,1
re2ob-8f991393cb9debdf,1,emailservice,loss,1
re2ob-b6db72fc58931786,1,productcatalogservice,delay,1
re2ob-b84066a37ca0c417,1,productcatalogservice,socket,1
re2ob-ce3f410f61f739c2,1,recommendationservice,mem,1
re2ob-d0d93705e784491a,1,productcatalogservice,disk,1
re2ob-d7f2f8eb2f0ad646,1,emailservice,delay,1
re2ob-da48e150772a24fd,1,currencyservice,cpu,1
re2ob-df7b6eca09a6c41f,1,recommendationservice,loss,1
re2ob-eb8f50fda4f9095f,1,currencyservice,disk,1
re2ob-f209212fc63ac713,1,emailservice,mem,1
re2ob-fa8a8fae0fda7c42,1,recommendationservice,cpu,1
re2ob-feeaaba6c71377df,1,productcatalogservice,loss,1
re2ob-057fe49bd30d47c0,2,checkoutservice,cpu,1
re2ob-0c582795f6ae4798,2,recommendationservice,mem,1
re2ob-34c4e276dad53220,2,recommendationservice,loss,1
re2ob-428d5ecf570372b5,2,checkoutservice,delay,2
re2ob-42e80cf6bcd9400f,2,currencyservice,disk,1
re2ob-48e5379f4903b1d2,2,emailservice,disk,1
re2ob-4af0de56834334d2,2,emailservice,socket,1
re2ob-4f85dadf2507c3ca,2,productcatalogservice,loss,1
re2ob-557d49794f937ec6,2,checkoutservice,socket,1
re2ob-6aa36a4c6c99d55c,2,currencyservice,delay,1
re2ob-72b5d278f8908a0a,2,checkoutservice,loss,1
re2ob-7858d4d3815cf005,2,emailservice,loss,1
re2ob-7890056e7915d551,2,recommendationservice,delay,1
re2ob-7b0a90583e047a88,2,recommendationservice,cpu,1
re2ob-80bf4d093e6ab818,2,productcatalogservice,cpu,1
re2ob-93de1fab2ca56e86,2,emailservice,mem,1
re2ob-a6318b7e89546125,2,checkoutservice,disk,1
re2ob-abc29368674e8298,2,checkoutservice,mem,1
re2ob-acf69e21960f63d8,2,currencyservice,loss,3
re2ob-af1b6a7e1667e3f5,2,currencyservice,mem,1
re2ob-b78a14faa7ea7263,2,productcatalogservice,socket,1
re2ob-c2ac02db4e3370a9,2,productcatalogservice,disk,1
re2ob-ce93ebf8eb13a5ed,2,recommendationservice,socket,1
re2ob-d0382ea6cedfbd82,2,productcatalogservice,mem,1
re2ob-df7e831dddfac76c,2,emailservice,delay,1
re2ob-e16e6de30ae75ccd,2,emailservice,cpu,1
re2ob-e357bd8aec246cdb,2,currencyservice,socket,1
re2ob-f2b4cc2f87b35c03,2,recommendationservice,disk,1
re2ob-f30e2feeaa5218b8,2,productcatalogservice,delay,1
re2ob-fd67c49516fa2028,2,currencyservice,cpu,1
