dataset,case_id,fault_type,root_service,fold,z1_rank,z1_root_margin,z2_rank,z2_root_margin,z3_rank,z3_root_margin,z2_vs_z1,z3_vs_z1,z2_top1_gained,z2_top1_lost,z3_top1_gained,z3_top1_lost,z2_top3_gained,z2_top3_lost,z3_top3_gained,z3_top3_lost,z2_top5_gained,z2_top5_lost,z3_top5_gained,z3_top5_lost
re2ob,re2ob-0433b8cb47b1ec8e,mem,currencyservice,0,4,-1.7606617752453175,2,-0.41049777286956335,1,2.638890810877564,improved,improved,0,0,1,0,1,0,1,0,0,0,0,0
re2ob,re2ob-048f2e7d7bfbc927,socket,emailservice,1,1,5.2044712430719775,1,8.042019006804972,1,9.601229784573407,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-057fe49bd30d47c0,cpu,checkoutservice,2,1,2.2600963461891834,1,5.341862098770527,1,5.345006851119608,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-08f3e5d7b11d1fa7,delay,productcatalogservice,0,1,3.810450454049829,1,3.9195874140878253,1,4.610901655950958,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-097a5d7ac0492007,cpu,emailservice,0,1,4.786333158319886,1,5.330922295662285,1,4.428493675766612,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-0c582795f6ae4798,mem,recommendationservice,2,1,2.658417963508895,1,3.7850279203116086,1,1.8451872364615856,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-1084f320d8584c61,disk,emailservice,0,1,9.197638505746783,1,8.197892346658511,1,8.193284210914769,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-1bb2e75872fd9037,loss,productcatalogservice,0,1,48.984510231161,1,42.84896105406995,1,56.11991831374908,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-1d19cc60d7a6adc1,socket,checkoutservice,0,1,4.7909450555007,1,8.74339687344144,1,9.714078030638582,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-1d9a0d1641171551,mem,checkoutservice,1,1,1.9866964042857358,1,0.8582301927290956,1,9.603436219356517,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-23213ee605c6b050,disk,emailservice,1,1,12.03800898329583,1,11.965232281823935,1,19.377098372163108,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-34c4e276dad53220,loss,recommendationservice,2,1,1.161610088943248,1,6.765926047184227,1,8.555238997761643,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-35bd9974d6b59069,disk,recommendationservice,0,1,2.776890711056554,1,7.454980662660456,1,10.282759252071791,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-3758cb8f0f1277f3,mem,recommendationservice,0,1,5.01235535110504,1,5.527113612062752,1,9.68517740621888,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-3827c8c9ef1e8592,loss,currencyservice,1,1,0.3384082193397804,3,-1.3366183332979844,1,0.4590780566667245,degraded,unchanged,0,1,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-3e7e71a1c83dbc41,socket,currencyservice,1,1,0.005767579583868532,1,0.4661398630838507,1,0.9969770368254736,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-40e1893e43abba5c,delay,currencyservice,1,1,0.7224165409976129,1,3.1605365421033156,1,3.2464386568091648,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-428d5ecf570372b5,delay,checkoutservice,2,3,-0.8863824186090081,1,0.9166225554335927,1,0.7694644696309361,improved,improved,1,0,1,0,0,0,0,0,0,0,0,0
re2ob,re2ob-42e80cf6bcd9400f,disk,currencyservice,2,1,0.03675607626074573,1,1.4469057730414763,1,4.79279027134066,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-435f42d94b785472,socket,emailservice,0,1,5.297396620390794,1,7.956899133437458,1,6.302872953567707,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-45687a171f241b04,disk,productcatalogservice,0,1,1.7818576398241515,1,2.152546040269053,1,4.169926345302041,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-4677d4ce6ef327e0,delay,emailservice,0,1,1.6866722828847545,1,2.6015100089899548,1,4.644577355118328,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-48e5379f4903b1d2,disk,emailservice,2,1,4.545352527665094,1,7.221426930179289,1,13.623528180223165,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-4af0de56834334d2,socket,emailservice,2,1,5.15631046622917,1,8.310244957523004,1,13.506151768446957,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-4b9110d974bb1875,delay,checkoutservice,1,3,-1.1005220454910347,3,-1.1015471388620712,2,-1.6159787368306748,unchanged,improved,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-4f85dadf2507c3ca,loss,productcatalogservice,2,1,3.241944012353584,1,1.1588245908817933,1,3.737364300917264,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-505f802370635ec3,cpu,checkoutservice,1,1,4.453381548750803,2,-4.118411002894555,1,9.054102178330911,degraded,unchanged,0,1,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-557d49794f937ec6,socket,checkoutservice,2,1,2.936916634571488,1,5.491686930903046,1,5.191191384441776,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-57b75da971aabed5,cpu,emailservice,1,1,6.774848715764394,1,7.757527756929651,1,10.590267575242981,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-58cff4fc86081830,socket,recommendationservice,1,1,3.3187803393837574,1,5.718390779859088,1,7.687973677568108,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-58eb5ae1a41b77e4,mem,productcatalogservice,1,2,-3.331470876056894,1,2.496003046425325,1,0.22195320300151344,improved,improved,1,0,1,0,0,0,0,0,0,0,0,0
re2ob,re2ob-5a4d1a4785969ab2,disk,currencyservice,0,3,-1.6814057759799574,1,0.04542735253121144,3,-1.747012104226613,improved,unchanged,1,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-5f261573c1b3bdc5,mem,currencyservice,1,3,-0.21193901847206398,2,-0.46563007876345974,4,-2.1478936194200697,improved,degraded,0,0,0,0,0,0,0,1,0,0,0,0
re2ob,re2ob-6521847c78ca06e9,delay,recommendationservice,1,1,0.6701790041539493,2,-0.16099066656821037,2,-1.9854665022725335,degraded,degraded,0,1,0,1,0,0,0,0,0,0,0,0
re2ob,re2ob-66c4b614046569c9,disk,checkoutservice,0,1,3.385564950722577,1,6.921620154419301,1,8.768020303226312,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-6aa36a4c6c99d55c,delay,currencyservice,2,1,0.9199159822209078,1,2.5773468207713037,1,4.624410178205398,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-71c7f9be34b19754,socket,checkoutservice,1,1,0.004076369280540781,1,2.1500653784252632,1,5.66248596117742,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-72b5d278f8908a0a,loss,checkoutservice,2,1,1.4952395076296208,1,1.1727186333422317,1,1.5988505340506878,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-7732042f2a190c79,cpu,productcatalogservice,1,1,0.2927088373688784,1,1.2540783441772536,1,3.204260489559376,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-784d7eb25137c3c9,mem,productcatalogservice,0,1,13.589463941366056,1,11.611103675230224,1,14.676824896222765,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-7858d4d3815cf005,loss,emailservice,2,1,0.9438173297006012,1,0.7379644709638855,1,0.9434601440666439,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-7890056e7915d551,delay,recommendationservice,2,1,1.0498985662452096,1,4.098913762099586,1,8.297232620861408,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-79fcefff48aef53b,delay,checkoutservice,0,3,-2.4792837461599673,3,-2.5778336991509248,3,-4.827790897517636,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-7a91adc6e16587c6,disk,recommendationservice,1,1,2.2843442010170856,1,4.885821940529116,1,8.525798876860822,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-7aec8ac514e0d064,disk,checkoutservice,1,1,2.646644756133658,1,5.60398902594283,1,10.04712255755906,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-7b0a90583e047a88,cpu,recommendationservice,2,1,5.076704061975886,1,4.997275623065813,1,7.986188965371557,unchanged,unchanged,0,0,0,0,0,0,0,0,0,0,0,0
re2ob,re2ob-7c278a568194196b,loss,checkoutservice,1,1,1.4806621324691616,1,3.268807191842898,2,-2.2193600380907954,unchanged,degraded,0,0,0,1,0,0,0,0,0,0,0,0
re2ob,re2ob-7f2201e9884e818e,loss,checkoutservice,0,1,0.15638702320918796,1,0.5395563191971604,2,-0.4910447775911795,unchanged,degraded,0,0,0,1,0,0,0,0,0,0,0,0
