dataset,case_id,fault_type,root_service,fold,M,L,TE,TL,M+L,M+TE,M+TL,L+TE,L+TL,TE+TL,FULL-M,FULL-L,FULL-TE,FULL-TL,FULL-Z2
re2ob,re2ob-0433b8cb47b1ec8e,mem,currencyservice,0,1,7,4,4,1,1,1,7,1,3,1,1,2,1,2
re2ob,re2ob-048f2e7d7bfbc927,socket,emailservice,1,1,3,5,3,1,1,1,3,2,3,2,1,1,1,1
re2ob,re2ob-057fe49bd30d47c0,cpu,checkoutservice,2,1,7,3,2,1,1,1,7,4,2,4,1,1,1,1
re2ob,re2ob-08f3e5d7b11d1fa7,delay,productcatalogservice,0,1,4,8,8,1,1,1,5,5,6,5,1,1,1,1
re2ob,re2ob-097a5d7ac0492007,cpu,emailservice,0,1,6,5,3,1,1,1,6,4,2,4,1,1,1,1
re2ob,re2ob-0c582795f6ae4798,mem,recommendationservice,2,1,2,9,6,1,1,1,2,1,6,1,1,1,1,1
re2ob,re2ob-1084f320d8584c61,disk,emailservice,0,1,7,5,3,1,1,1,7,2,2,2,1,1,1,1
re2ob,re2ob-1bb2e75872fd9037,loss,productcatalogservice,0,1,1,8,9,1,1,1,2,2,6,2,1,1,1,1
re2ob,re2ob-1d19cc60d7a6adc1,socket,checkoutservice,0,1,2,3,3,1,1,1,2,2,2,2,1,1,1,1
re2ob,re2ob-1d9a0d1641171551,mem,checkoutservice,1,1,7,3,2,1,1,1,7,4,2,4,1,1,1,1
re2ob,re2ob-23213ee605c6b050,disk,emailservice,1,1,4,5,3,1,1,1,4,2,3,2,1,1,1,1
re2ob,re2ob-34c4e276dad53220,loss,recommendationservice,2,1,1,9,7,1,1,1,1,1,8,1,1,1,1,1
re2ob,re2ob-35bd9974d6b59069,disk,recommendationservice,0,1,3,9,1,1,1,1,3,1,4,1,1,1,1,1
re2ob,re2ob-3758cb8f0f1277f3,mem,recommendationservice,0,1,1,9,1,1,1,1,1,1,6,1,1,1,1,1
re2ob,re2ob-3827c8c9ef1e8592,loss,currencyservice,1,4,6,4,3,4,4,3,6,4,3,4,3,2,4,2
re2ob,re2ob-3e7e71a1c83dbc41,socket,currencyservice,1,1,9,4,3,2,1,1,9,5,3,5,1,2,2,2
re2ob,re2ob-40e1893e43abba5c,delay,currencyservice,1,1,2,4,3,1,1,1,2,1,3,1,1,1,1,1
re2ob,re2ob-428d5ecf570372b5,delay,checkoutservice,2,2,4,3,3,2,2,2,4,2,3,2,2,2,2,2
re2ob,re2ob-42e80cf6bcd9400f,disk,currencyservice,2,1,6,4,3,1,1,1,6,1,3,1,1,1,1,1
re2ob,re2ob-435f42d94b785472,socket,emailservice,0,1,5,5,5,1,1,1,5,2,3,2,1,1,1,1
re2ob,re2ob-45687a171f241b04,disk,productcatalogservice,0,1,1,8,6,1,1,1,2,2,4,2,1,1,1,1
re2ob,re2ob-4677d4ce6ef327e0,delay,emailservice,0,1,3,5,5,1,1,1,3,2,3,2,1,1,1,1
re2ob,re2ob-48e5379f4903b1d2,disk,emailservice,2,1,8,5,3,1,1,1,8,4,3,4,1,1,1,1
re2ob,re2ob-4af0de56834334d2,socket,emailservice,2,1,1,5,3,1,1,1,1,1,3,1,1,1,1,1
re2ob,re2ob-4b9110d974bb1875,delay,checkoutservice,1,2,1,3,2,3,2,2,1,2,2,2,2,2,3,2
re2ob,re2ob-4f85dadf2507c3ca,loss,productcatalogservice,2,1,4,8,6,1,1,1,5,5,6,5,1,1,1,1
re2ob,re2ob-505f802370635ec3,cpu,checkoutservice,1,1,1,3,4,1,1,3,1,3,4,3,3,1,1,1
re2ob,re2ob-557d49794f937ec6,socket,checkoutservice,2,1,7,3,2,1,1,1,7,4,2,4,1,1,1,1
re2ob,re2ob-57b75da971aabed5,cpu,emailservice,1,1,8,5,3,1,1,1,8,2,3,2,1,1,1,1
re2ob,re2ob-58cff4fc86081830,socket,recommendationservice,1,1,7,9,5,1,1,1,7,5,5,5,1,1,1,1
re2ob,re2ob-58eb5ae1a41b77e4,mem,productcatalogservice,1,1,6,8,7,1,1,2,6,4,7,4,2,1,1,1
re2ob,re2ob-5a4d1a4785969ab2,disk,currencyservice,0,1,9,4,5,1,1,1,9,6,2,6,1,1,1,1
re2ob,re2ob-5f261573c1b3bdc5,mem,currencyservice,1,1,5,4,3,1,1,1,5,1,3,1,1,2,1,2
re2ob,re2ob-6521847c78ca06e9,delay,recommendationservice,1,1,2,9,6,2,1,1,2,1,6,1,1,1,2,1
re2ob,re2ob-66c4b614046569c9,disk,checkoutservice,0,1,5,3,4,1,1,1,5,4,1,4,1,1,1,1
re2ob,re2ob-6aa36a4c6c99d55c,delay,currencyservice,2,1,1,4,3,1,1,1,2,3,3,3,1,1,1,1
