asset_path,source_path,source_commit,source_blob_sha,source_file_sha256,asset_sha256,evidence_class,thesis_use,citation_allowed,derived_or_copied,derivation,caveat
PROVENANCE.json,docs/RCA_EVIDENCE_INDEX.md;docs/RCA_FINAL_SCIENTIFIC_FREEZE_V1.md,9342e06db91945be2e44703437229ba45b18bda8,5ba06319ee858c38271644c7cbfe3f48d1730ab8;ccd78dbb27f276e424c9671df63f4fd594edb585,76a8df55036bc741c64bdeda6651d6f8801f3805eea470bf82a6f33f043f5f43;d0a3782d1835d986a59bf8f23e120c8dc14944ad8bf10f3698917d50ae4468d0,d60f41ba8348d6e765bad46d4f3f91af155f8b320f2f5406847a7682298e9b85,CANONICAL,package provenance and source boundary,true,DERIVED,Deterministic package provenance bound to the frozen source and exporter commit.,No ambient timestamp is used.
README.md,docs/RCA_EVIDENCE_INDEX.md;docs/RCA_FINAL_SCIENTIFIC_FREEZE_V1.md;docs/RCA_THESIS_CLAIM_MATRIX.md;docs/RCA_THESIS_RESULTS_PACKAGE.md,9342e06db91945be2e44703437229ba45b18bda8,5ba06319ee858c38271644c7cbfe3f48d1730ab8;ccd78dbb27f276e424c9671df63f4fd594edb585;927d66130b2ab2fdd991a03979b43fe57ca6308f;cc3f68f5042e43f87e3ede86b504ecb8d05ff7e7,76a8df55036bc741c64bdeda6651d6f8801f3805eea470bf82a6f33f043f5f43;d0a3782d1835d986a59bf8f23e120c8dc14944ad8bf10f3698917d50ae4468d0;01ff974721b68ab370445856b87c0ba1d38c68a9c1a2882d01ea865f54df275e;73c7d2345353d8bfb35e751da5926688dc28f4f61cc4777b063d396433bb230c,f6a72e60051c856ea646865902f600cb8213f6a2e07aaef4103deef6e604c0fc,CANONICAL,single thesis asset entry point,true,DERIVED,Deterministic package guide generated from the canonical evidence boundary.,
data/ablation/p3_bootstrap.csv,artifacts/bootstrap/p3_g1_bootstrap.json,9342e06db91945be2e44703437229ba45b18bda8,bbfa1167d4cf5048ed61e5703a91f04446581476,77c7d974c088d94ef6e31082410c5775c1028d1e00058426e905ab41dd7c46cf,4b25b6bf599b2382feeb9f600f6826b37b94f82ceb635a43ad2a119883cf64f1,DEVELOPMENT,P3 paired bootstrap evidence,true,DERIVED,Flattened the committed fault-stratified paired bootstrap without changing its direction or estimator.,The Z3-vs-Z1 gate remains NO-GO; Z3-vs-shuffle is a narrow temporal-order comparison.
data/ablation/p3_representation_metrics.csv,artifacts/bootstrap/p3_g1_bootstrap.json;artifacts/runs/p3_a2_summary.json,9342e06db91945be2e44703437229ba45b18bda8,bbfa1167d4cf5048ed61e5703a91f04446581476;54b7d735ebabd2010e8ed12de30173a09a74a791,77c7d974c088d94ef6e31082410c5775c1028d1e00058426e905ab41dd7c46cf;fccc92d8d8deedce2153fdf4873de6238a71f0820696cac6c3bbd98b55f14138,2426fc340da40b3dc19c53df88f5410b3156bd20f34706f2b5eeda9cc5835632,DEVELOPMENT,P3 representation metrics; internal evidence only,true,DERIVED,Read overall metrics from the five committed P3 variant runs.,P3-G1 is NO-GO/CLOSED; this is not external confirmation.
data/ablation/p3_temporal_comparisons.csv,artifacts/bootstrap/p3_g1_bootstrap.json;docs/P3_G1_DECISION.md,9342e06db91945be2e44703437229ba45b18bda8,bbfa1167d4cf5048ed61e5703a91f04446581476;48046c6bb8b727fe4759a991c6c464bca110f04b,77c7d974c088d94ef6e31082410c5775c1028d1e00058426e905ab41dd7c46cf;38d2b2e50d9026140eaf3e1686f90a93fe907623058999906a415e8314f877bb,91e246e61f88bcccefe45dbf1bb3b32ee67fbb828e8e21e7bced7714a5b4030a,DEVELOPMENT,narrow temporal-alignment evidence,true,DERIVED,Selected only the predeclared Z3 versus deterministic Z3-SHUFFLE comparison.,This does not support universal full-trajectory superiority.
data/ablation/p4_a0_a1_a2_a3_metrics.csv,artifacts/p4_g0/metrics/summary.json;docs/P4_G0_RESULTS.md,9342e06db91945be2e44703437229ba45b18bda8,9fd0ff2506545521606a4fd83a6becdac0f75e02;5ffc9c7a6b1479361994b0cd1b76011eaeca777c,74f0b979e1473256d5822be0805e807012f663775bd4a87c8cf7d78e034ec596;0f47872a1d8f35d932e48c662ddb0155e4af64250cda6a3022a4899491cda876,b93f38f43bfdf396500cfce8f222ed3ee0dff54f53b5e1b0711cfdae95deca76,DEVELOPMENT,P4 matched ablation metrics,true,DERIVED,Flattened the four committed P4 variants and retained their exact definitions.,P4-G0 candidate-relative consistency gate is NO-GO/CLOSED.
data/ablation/p4_bootstrap.csv,artifacts/p4_g0/bootstrap/p4_g0_bootstrap.json,9342e06db91945be2e44703437229ba45b18bda8,2ca376b3aa773d2bed492f458d46a1f1ec2c8a2b,40c883e5f8781cb0298609df0e2935157c9bb936fd203b3213112c1d33afd1b3,827e01db2d372016dff83503bc29499c248e81c928dfef1543df09ce3f3a0deb,DEVELOPMENT,P4 paired bootstrap evidence,true,DERIVED,Flattened the committed P4 bootstrap with its original metric direction and estimator.,
data/ablation/p4_case_transitions.csv,artifacts/p4_g0/metrics/case_transitions.csv,9342e06db91945be2e44703437229ba45b18bda8,94b821b7d8afd154e661fea4154397c359f1ab66,921cd3092643556ef4e34431102d0415432a4cebbc8f9ea92d2fd6a14ef2dac2,921cd3092643556ef4e34431102d0415432a4cebbc8f9ea92d2fd6a14ef2dac2,DEVELOPMENT,P4 case-level transitions,true,COPIED,byte-identical copy of committed P4 transition evidence,P4 transitions are descriptive development evidence.
data/ablation/p4_interaction.csv,artifacts/p4_g0/metrics/summary.json;docs/P4_G0_RESULTS.md,9342e06db91945be2e44703437229ba45b18bda8,9fd0ff2506545521606a4fd83a6becdac0f75e02;5ffc9c7a6b1479361994b0cd1b76011eaeca777c,74f0b979e1473256d5822be0805e807012f663775bd4a87c8cf7d78e034ec596;0f47872a1d8f35d932e48c662ddb0155e4af64250cda6a3022a4899491cda876,b485db4aac868fd7d5fe48424629c9ef9bff8159f87f6fa18dd18af04b363071,DEVELOPMENT,P4 factorial interaction,true,DERIVED,Computed from the committed P4 effect definitions.,
data/ablation/p4_main_effects.csv,artifacts/p4_g0/metrics/summary.json;docs/P4_G0_DECISION.md,9342e06db91945be2e44703437229ba45b18bda8,9fd0ff2506545521606a4fd83a6becdac0f75e02;0b1a3e09a7c46e73a2b7a0b5babad0bdfb51ed25,74f0b979e1473256d5822be0805e807012f663775bd4a87c8cf7d78e034ec596;678c6779c62a91a7b6923b78387bb83ad869fea3511e4b3e5f06b522f60f4c33,c586f46595a3041be1b298b0adf6473b16ac064acecb2bced020ff6b32969575,DEVELOPMENT,P4 matched main effects,true,DERIVED,"Read the committed A1-A0, A2-A0, A3-A1, and A3-A2 effects.",
