variant,dataset,n_cases,AC@1,AC@3,AC@5,Avg@5,MRR,evidence_class,confirmatory,gate_status
Z0,re2ob,90,0.26666666666666666,0.7222222222222222,0.9444444444444444,0.671111111111111,0.5270634920634921,DEVELOPMENT,false,DEVELOPMENT
Z1,re2ob,90,0.8444444444444444,0.9555555555555556,0.9777777777777777,0.9266666666666665,0.8956790123456789,DEVELOPMENT,false,DEVELOPMENT
Z2,re2ob,90,0.8555555555555555,0.9888888888888889,0.9888888888888889,0.9533333333333331,0.9160493827160495,DEVELOPMENT,false,DEVELOPMENT
Z3,re2ob,90,0.8444444444444444,0.9666666666666667,0.9888888888888889,0.9399999999999997,0.9037037037037037,DEVELOPMENT,false,P3-G1 NO-GO / CLOSED
Z3-SHUFFLE,re2ob,90,0.5333333333333333,0.7666666666666667,0.9111111111111111,0.7555555555555554,0.6890388007054676,DEVELOPMENT,false,P3-G1 NO-GO / CLOSED
Z0,re2tt,90,0.0,0.05555555555555555,0.1111111111111111,0.05333333333333333,0.09878305223020653,DEVELOPMENT,false,DEVELOPMENT
Z1,re2tt,90,0.5777777777777777,0.7888888888888889,0.8666666666666667,0.7599999999999999,0.7065836523679662,DEVELOPMENT,false,DEVELOPMENT
Z2,re2tt,90,0.7,0.8555555555555555,0.9555555555555556,0.8466666666666666,0.7936018556606794,DEVELOPMENT,false,DEVELOPMENT
Z3,re2tt,90,0.5555555555555556,0.7333333333333333,0.7888888888888889,0.7044444444444445,0.6676259247507144,DEVELOPMENT,false,P3-G1 NO-GO / CLOSED
Z3-SHUFFLE,re2tt,90,0.3111111111111111,0.4666666666666667,0.5333333333333333,0.4422222222222223,0.42873614714586,DEVELOPMENT,false,P3-G1 NO-GO / CLOSED
