comparison,metric,dataset,point_delta,ci_lower,ci_upper,resamples,seed,sampling,evidence_class,confirmatory,decision
A1-A0,AC@1,re2ob,0.011111111111111112,-0.03333333333333333,0.05555555555555555,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A1-A0,AC@1,re2tt,0.1,0.011111111111111112,0.18888888888888888,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A1-A0,AC@1,equal_dataset_mean,0.05555555555555556,0.005555555555555556,0.10555555555555556,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A1-A0,Avg@5,re2ob,-0.004444444444444444,-0.024444444444444446,0.017777777777777778,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A1-A0,Avg@5,re2tt,0.06666666666666665,0.011111111111111103,0.12444444444444444,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A1-A0,Avg@5,equal_dataset_mean,0.031111111111111103,0.0011111111111111113,0.062222222222222213,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A2-A0,AC@1,re2ob,0.022222222222222223,-0.011111111111111112,0.06666666666666667,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A2-A0,AC@1,re2tt,0.13333333333333333,0.03333333333333333,0.23333333333333334,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A2-A0,AC@1,equal_dataset_mean,0.07777777777777778,0.022222222222222223,0.13333333333333333,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A2-A0,Avg@5,re2ob,0.011111111111111113,-0.011111111111111108,0.03111111111111112,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A2-A0,Avg@5,re2tt,0.08666666666666666,0.017777777777777778,0.16000000000000003,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
A2-A0,Avg@5,equal_dataset_mean,0.048888888888888885,0.012222222222222221,0.08777777777777777,10000,20260826,paired fault-stratified failure-case bootstrap; OB and TT independently resampled within each iteration,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
