dataset,comparison,metric,point_delta,evidence_class,confirmatory,gate_status
re2ob,A1-A0,AC@1,0.011111111111111183,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2ob,A1-A0,Avg@5,-0.004444444444444362,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2ob,A2-A0,AC@1,0.022222222222222254,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2ob,A2-A0,Avg@5,0.011111111111111183,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2ob,A3-A1,AC@1,-0.022222222222222254,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2ob,A3-A1,Avg@5,0.0022222222222221255,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2ob,A3-A2,AC@1,-0.033333333333333326,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2ob,A3-A2,Avg@5,-0.01333333333333342,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A1-A0,AC@1,0.10000000000000009,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A1-A0,Avg@5,0.06666666666666654,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A2-A0,AC@1,0.13333333333333341,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A2-A0,Avg@5,0.08666666666666667,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A3-A1,AC@1,0.033333333333333326,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A3-A1,Avg@5,0.02444444444444438,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A3-A2,AC@1,0.0,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
re2tt,A3-A2,Avg@5,0.004444444444444251,DEVELOPMENT,false,P4-G0 NO-GO / CLOSED
