dataset,control,n_cases,AC@1,AC@3,AC@5,Avg@5,MRR,evidence_class,confirmatory,control_role
re2ob,FINAL-Z2,90,0.8777777777777778,0.9888888888888889,0.9888888888888889,0.9622222222222222,0.9314814814814816,SUPPORTING,false,frozen final method
re2ob,S0-A,90,0.2,0.6,1.0,0.6,0.4566666666666668,SUPPORTING,false,falsification/control
re2ob,S0-B,90,0.19999999999999996,0.5999999999999999,1.0,0.5999999999999999,0.4566666666666666,SUPPORTING,false,falsification/control
re2ob,S1,90,0.2111111111111111,0.4444444444444444,0.7888888888888889,0.49111111111111116,0.41173721340388,SUPPORTING,false,falsification/control
re2ob,S2,90,0.32222222222222224,0.6444444444444445,0.9222222222222223,0.6422222222222221,0.5364021164021164,SUPPORTING,false,falsification/control
re2tt,FINAL-Z2,90,0.7111111111111111,0.8666666666666667,0.9333333333333333,0.851111111111111,0.8034718881941106,SUPPORTING,false,frozen final method
re2tt,S0-A,90,0.2,0.6,1.0,0.6,0.4566666666666668,SUPPORTING,false,falsification/control
re2tt,S0-B,90,0.19999999999999996,0.5999999999999999,1.0,0.5999999999999999,0.4566666666666666,SUPPORTING,false,falsification/control
re2tt,S1,90,0.0,0.0,0.12222222222222222,0.048888888888888885,0.0924265437410352,SUPPORTING,false,falsification/control
re2tt,S2,90,0.022222222222222223,0.2222222222222222,0.34444444444444444,0.21111111111111114,0.1947907598115588,SUPPORTING,false,falsification/control
