dataset,control,metric,point_delta,ci_lower,ci_upper,resamples,seed,direction,state,evidence_class,confirmatory
re2ob,S0-A,AC@1,0.6777777777777778,0.5666666666666667,0.7888888888888889,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2tt,S0-A,AC@1,0.5111111111111111,0.4,0.6222222222222222,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
equal_dataset_mean,S0-A,AC@1,0.5944444444444444,0.5111111111111111,0.6722222222222223,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2ob,S0-A,Avg@5,0.3622222222222222,0.29333333333333333,0.43111111111111106,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
re2tt,S0-A,Avg@5,0.2511111111111111,0.1711111111111111,0.32888888888888884,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
equal_dataset_mean,S0-A,Avg@5,0.30666666666666664,0.2544444444444445,0.3588888888888888,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
re2ob,S0-B,AC@1,0.6777777777777776,0.6111111111111109,0.7444444444444442,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2tt,S0-B,AC@1,0.511111111111111,0.4333333333333332,0.5888888888888887,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
equal_dataset_mean,S0-B,AC@1,0.5944444444444443,0.5444444444444443,0.6444444444444443,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2ob,S0-B,Avg@5,0.36222222222222217,0.3333333333333333,0.38444444444444437,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
re2tt,S0-B,Avg@5,0.25111111111111106,0.20222222222222216,0.29999999999999993,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
equal_dataset_mean,S0-B,Avg@5,0.30666666666666664,0.27888888888888885,0.3344444444444444,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
re2ob,S1,AC@1,0.6666666666666666,0.5666666666666667,0.7666666666666667,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2tt,S1,AC@1,0.7111111111111111,0.6333333333333333,0.7888888888888889,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
equal_dataset_mean,S1,AC@1,0.6888888888888889,0.6277777777777778,0.75,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2ob,S1,Avg@5,0.47111111111111115,0.39777777777777773,0.5466666666666666,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
re2tt,S1,Avg@5,0.8022222222222221,0.74,0.8622222222222223,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
equal_dataset_mean,S1,Avg@5,0.6366666666666666,0.588888888888889,0.6844444444444444,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
re2ob,S2,AC@1,0.5555555555555556,0.4444444444444444,0.6666666666666666,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2tt,S2,AC@1,0.6888888888888889,0.6111111111111112,0.7666666666666667,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
equal_dataset_mean,S2,AC@1,0.6222222222222222,0.5555555555555556,0.6888888888888889,10000,20260827,FINAL-Z2 - CONTROL,,SUPPORTING,false
re2ob,S2,Avg@5,0.31999999999999995,0.2533333333333333,0.3888888888888889,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
re2tt,S2,Avg@5,0.64,0.551111111111111,0.7266666666666667,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
equal_dataset_mean,S2,Avg@5,0.48,0.4255555555555556,0.5366666666666666,10000,20260827,FINAL-Z2 - CONTROL,CONTROL_SEPARATED,SUPPORTING,false
