dataset,control,metric,final_minus_control,evidence_class,confirmatory
re2ob,S0-A,AC@1,0.6777777777777778,SUPPORTING,false
re2ob,S0-A,AC@3,0.38888888888888895,SUPPORTING,false
re2ob,S0-A,AC@5,-0.011111111111111072,SUPPORTING,false
re2ob,S0-A,Avg@5,0.3622222222222222,SUPPORTING,false
re2ob,S0-A,MRR,0.4748148148148148,SUPPORTING,false
re2ob,S0-B,AC@1,0.6777777777777778,SUPPORTING,false
re2ob,S0-B,AC@3,0.38888888888888906,SUPPORTING,false
re2ob,S0-B,AC@5,-0.011111111111111072,SUPPORTING,false
re2ob,S0-B,Avg@5,0.36222222222222233,SUPPORTING,false
re2ob,S0-B,MRR,0.47481481481481497,SUPPORTING,false
re2ob,S1,AC@1,0.6666666666666666,SUPPORTING,false
re2ob,S1,AC@3,0.5444444444444445,SUPPORTING,false
re2ob,S1,AC@5,0.20000000000000007,SUPPORTING,false
re2ob,S1,Avg@5,0.47111111111111104,SUPPORTING,false
re2ob,S1,MRR,0.5197442680776017,SUPPORTING,false
re2ob,S2,AC@1,0.5555555555555556,SUPPORTING,false
re2ob,S2,AC@3,0.34444444444444444,SUPPORTING,false
re2ob,S2,AC@5,0.06666666666666665,SUPPORTING,false
re2ob,S2,Avg@5,0.32000000000000006,SUPPORTING,false
re2ob,S2,MRR,0.39507936507936514,SUPPORTING,false
re2tt,S0-A,AC@1,0.5111111111111111,SUPPORTING,false
re2tt,S0-A,AC@3,0.2666666666666667,SUPPORTING,false
re2tt,S0-A,AC@5,-0.06666666666666665,SUPPORTING,false
re2tt,S0-A,Avg@5,0.25111111111111106,SUPPORTING,false
re2tt,S0-A,MRR,0.34680522152744386,SUPPORTING,false
re2tt,S0-B,AC@1,0.5111111111111112,SUPPORTING,false
re2tt,S0-B,AC@3,0.26666666666666683,SUPPORTING,false
re2tt,S0-B,AC@5,-0.06666666666666665,SUPPORTING,false
re2tt,S0-B,Avg@5,0.2511111111111112,SUPPORTING,false
re2tt,S0-B,MRR,0.34680522152744403,SUPPORTING,false
re2tt,S1,AC@1,0.7111111111111111,SUPPORTING,false
re2tt,S1,AC@3,0.8666666666666667,SUPPORTING,false
re2tt,S1,AC@5,0.8111111111111111,SUPPORTING,false
re2tt,S1,Avg@5,0.8022222222222222,SUPPORTING,false
re2tt,S1,MRR,0.7110453444530754,SUPPORTING,false
re2tt,S2,AC@1,0.6888888888888889,SUPPORTING,false
re2tt,S2,AC@3,0.6444444444444445,SUPPORTING,false
re2tt,S2,AC@5,0.5888888888888889,SUPPORTING,false
re2tt,S2,Avg@5,0.6399999999999999,SUPPORTING,false
re2tt,S2,MRR,0.6086811283825518,SUPPORTING,false
