dataset,statistic,value,evidence_class,confirmatory
re2ob,by_transition.degraded.cases,5,DIAGNOSTIC,false
re2ob,by_transition.degraded.channel_available_ratio,0.5454545454545454,DIAGNOSTIC,false
re2ob,by_transition.degraded.morphology_active_ratio,0.5454545454545454,DIAGNOSTIC,false
re2ob,by_transition.degraded.q_observed_ratio,0.4992613636363636,DIAGNOSTIC,false
re2ob,by_transition.improved.cases,10,DIAGNOSTIC,false
re2ob,by_transition.improved.channel_available_ratio,0.5295454545454544,DIAGNOSTIC,false
re2ob,by_transition.improved.morphology_active_ratio,0.5295454545454544,DIAGNOSTIC,false
re2ob,by_transition.improved.q_observed_ratio,0.5295454545454544,DIAGNOSTIC,false
re2ob,by_transition.unchanged.cases,75,DIAGNOSTIC,false
re2ob,by_transition.unchanged.channel_available_ratio,0.5509090909090909,DIAGNOSTIC,false
re2ob,by_transition.unchanged.morphology_active_ratio,0.5509090909090909,DIAGNOSTIC,false
re2ob,by_transition.unchanged.q_observed_ratio,0.5490454545454546,DIAGNOSTIC,false
re2ob,overall.channel_available_ratio,0.5482323232323233,DIAGNOSTIC,false
re2ob,overall.morphology_active_ratio,0.5482323232323233,DIAGNOSTIC,false
re2ob,overall.q_observed_ratio,0.5441130050505051,DIAGNOSTIC,false
re2ob,rank_gain_correlation.channel_available_ratio,-0.12590257002619457,DIAGNOSTIC,false
re2ob,rank_gain_correlation.morphology_active_ratio,-0.12590257002619457,DIAGNOSTIC,false
re2ob,rank_gain_correlation.q_observed_ratio,0.018361100810836518,DIAGNOSTIC,false
re2ob,status,AVAILABLE_FROM_FROZEN_FEATURE_ARTIFACTS,DIAGNOSTIC,false
re2tt,by_transition.degraded.cases,14,DIAGNOSTIC,false
re2tt,by_transition.degraded.channel_available_ratio,0.3595063025210084,DIAGNOSTIC,false
re2tt,by_transition.degraded.morphology_active_ratio,0.3595063025210084,DIAGNOSTIC,false
re2tt,by_transition.degraded.q_observed_ratio,0.35837710084033614,DIAGNOSTIC,false
re2tt,by_transition.improved.cases,27,DIAGNOSTIC,false
re2tt,by_transition.improved.channel_available_ratio,0.3555283224400871,DIAGNOSTIC,false
re2tt,by_transition.improved.morphology_active_ratio,0.3555283224400871,DIAGNOSTIC,false
re2tt,by_transition.improved.q_observed_ratio,0.3555283224400871,DIAGNOSTIC,false
re2tt,by_transition.unchanged.cases,49,DIAGNOSTIC,false
re2tt,by_transition.unchanged.channel_available_ratio,0.35219087635054014,DIAGNOSTIC,false
re2tt,by_transition.unchanged.morphology_active_ratio,0.35219087635054014,DIAGNOSTIC,false
re2tt,by_transition.unchanged.q_observed_ratio,0.35219087635054014,DIAGNOSTIC,false
re2tt,overall.channel_available_ratio,0.3543300653594771,DIAGNOSTIC,false
re2tt,overall.morphology_active_ratio,0.3543300653594771,DIAGNOSTIC,false
re2tt,overall.q_observed_ratio,0.35415441176470586,DIAGNOSTIC,false
re2tt,rank_gain_correlation.channel_available_ratio,-0.061031257091353305,DIAGNOSTIC,false
re2tt,rank_gain_correlation.morphology_active_ratio,-0.061031257091353305,DIAGNOSTIC,false
re2tt,rank_gain_correlation.q_observed_ratio,-0.05801899317700052,DIAGNOSTIC,false
re2tt,status,AVAILABLE_FROM_FROZEN_FEATURE_ARTIFACTS,DIAGNOSTIC,false
