dataset,case_id,fault_type,root_service,root_rank,candidate_count,AC@1,AC@3,AC@5,Avg@5,MRR,evidence_class,confirmatory
re2ob,re2ob-a84cfdf477d8bf62,LOSS,currencyservice,6,11,0.0,0.0,0.0,0.0,0.16666666666666666,DIAGNOSTIC,false
re2ob,re2ob-79fcefff48aef53b,DELAY,checkoutservice,3,11,0.0,1.0,1.0,0.6,0.3333333333333333,DIAGNOSTIC,false
re2ob,re2ob-acf69e21960f63d8,LOSS,currencyservice,3,11,0.0,1.0,1.0,0.6,0.3333333333333333,DIAGNOSTIC,false
re2ob,re2ob-0433b8cb47b1ec8e,MEM,currencyservice,2,11,0.0,1.0,1.0,0.8,0.5,DIAGNOSTIC,false
re2ob,re2ob-3827c8c9ef1e8592,LOSS,currencyservice,2,11,0.0,1.0,1.0,0.8,0.5,DIAGNOSTIC,false
re2ob,re2ob-3e7e71a1c83dbc41,SOCKET,currencyservice,2,11,0.0,1.0,1.0,0.8,0.5,DIAGNOSTIC,false
re2ob,re2ob-428d5ecf570372b5,DELAY,checkoutservice,2,11,0.0,1.0,1.0,0.8,0.5,DIAGNOSTIC,false
re2ob,re2ob-4b9110d974bb1875,DELAY,checkoutservice,2,11,0.0,1.0,1.0,0.8,0.5,DIAGNOSTIC,false
re2ob,re2ob-5f261573c1b3bdc5,MEM,currencyservice,2,11,0.0,1.0,1.0,0.8,0.5,DIAGNOSTIC,false
re2ob,re2ob-71c7f9be34b19754,SOCKET,checkoutservice,2,11,0.0,1.0,1.0,0.8,0.5,DIAGNOSTIC,false
re2tt,re2tt-e76e500ff655313b,DELAY,ts-auth-service,27,68,0.0,0.0,0.0,0.0,0.037037037037037035,DIAGNOSTIC,false
re2tt,re2tt-01d0096e9a504ced,LOSS,ts-auth-service,15,68,0.0,0.0,0.0,0.0,0.06666666666666667,DIAGNOSTIC,false
re2tt,re2tt-14c6e1b70d0c21e5,LOSS,ts-auth-service,15,68,0.0,0.0,0.0,0.0,0.06666666666666667,DIAGNOSTIC,false
re2tt,re2tt-cc6c772d4116d054,DELAY,ts-auth-service,11,68,0.0,0.0,0.0,0.0,0.09090909090909091,DIAGNOSTIC,false
re2tt,re2tt-cb3381bf9ed05034,LOSS,ts-travel-service,8,68,0.0,0.0,0.0,0.0,0.125,DIAGNOSTIC,false
re2tt,re2tt-afdac60e6b000d3c,LOSS,ts-order-service,7,68,0.0,0.0,0.0,0.0,0.14285714285714285,DIAGNOSTIC,false
re2tt,re2tt-2fc3d2fb9c492b7c,MEM,ts-train-service,5,68,0.0,0.0,1.0,0.2,0.2,DIAGNOSTIC,false
re2tt,re2tt-20258ce8dbcd2300,LOSS,ts-travel-service,4,68,0.0,0.0,1.0,0.4,0.25,DIAGNOSTIC,false
re2tt,re2tt-739ad24f1e2d7c29,DELAY,ts-travel-service,4,68,0.0,0.0,1.0,0.4,0.25,DIAGNOSTIC,false
re2tt,re2tt-a141811c79edaa0b,DELAY,ts-route-service,4,68,0.0,0.0,1.0,0.4,0.25,DIAGNOSTIC,false
