dataset,scope,statistic,value,evidence_class,confirmatory
re2ob,overall,case_count,90,DIAGNOSTIC,false
re2ob,overall,mi_1_count,66,DIAGNOSTIC,false
re2ob,overall,mi_1_ratio,0.7333333333333333,DIAGNOSTIC,false
re2ob,overall,mi_3_count,25,DIAGNOSTIC,false
re2ob,overall,mi_3_ratio,0.2777777777777778,DIAGNOSTIC,false
re2ob,CPU,cases,15,DIAGNOSTIC,false
re2ob,CPU,mi_1_count,11,DIAGNOSTIC,false
re2ob,CPU,mi_1_ratio,0.7333333333333333,DIAGNOSTIC,false
re2ob,CPU,mi_3_count,5,DIAGNOSTIC,false
re2ob,CPU,mi_3_ratio,0.3333333333333333,DIAGNOSTIC,false
re2ob,MEM,cases,15,DIAGNOSTIC,false
re2ob,MEM,mi_1_count,12,DIAGNOSTIC,false
re2ob,MEM,mi_1_ratio,0.8,DIAGNOSTIC,false
re2ob,MEM,mi_3_count,6,DIAGNOSTIC,false
re2ob,MEM,mi_3_ratio,0.4,DIAGNOSTIC,false
re2ob,DISK,cases,15,DIAGNOSTIC,false
re2ob,DISK,mi_1_count,11,DIAGNOSTIC,false
re2ob,DISK,mi_1_ratio,0.7333333333333333,DIAGNOSTIC,false
re2ob,DISK,mi_3_count,3,DIAGNOSTIC,false
re2ob,DISK,mi_3_ratio,0.2,DIAGNOSTIC,false
re2ob,SOCKET,cases,15,DIAGNOSTIC,false
re2ob,SOCKET,mi_1_count,11,DIAGNOSTIC,false
re2ob,SOCKET,mi_1_ratio,0.7333333333333333,DIAGNOSTIC,false
re2ob,SOCKET,mi_3_count,3,DIAGNOSTIC,false
re2ob,SOCKET,mi_3_ratio,0.2,DIAGNOSTIC,false
re2ob,DELAY,cases,15,DIAGNOSTIC,false
re2ob,DELAY,mi_1_count,10,DIAGNOSTIC,false
re2ob,DELAY,mi_1_ratio,0.6666666666666666,DIAGNOSTIC,false
re2ob,DELAY,mi_3_count,3,DIAGNOSTIC,false
re2ob,DELAY,mi_3_ratio,0.2,DIAGNOSTIC,false
re2ob,LOSS,cases,15,DIAGNOSTIC,false
re2ob,LOSS,mi_1_count,11,DIAGNOSTIC,false
re2ob,LOSS,mi_1_ratio,0.7333333333333333,DIAGNOSTIC,false
re2ob,LOSS,mi_3_count,5,DIAGNOSTIC,false
re2ob,LOSS,mi_3_ratio,0.3333333333333333,DIAGNOSTIC,false
re2tt,overall,case_count,90,DIAGNOSTIC,false
re2tt,overall,mi_1_count,90,DIAGNOSTIC,false
re2tt,overall,mi_1_ratio,1.0,DIAGNOSTIC,false
re2tt,overall,mi_3_count,85,DIAGNOSTIC,false
re2tt,overall,mi_3_ratio,0.9444444444444444,DIAGNOSTIC,false
re2tt,CPU,cases,15,DIAGNOSTIC,false
re2tt,CPU,mi_1_count,15,DIAGNOSTIC,false
re2tt,CPU,mi_1_ratio,1.0,DIAGNOSTIC,false
re2tt,CPU,mi_3_count,14,DIAGNOSTIC,false
re2tt,CPU,mi_3_ratio,0.9333333333333333,DIAGNOSTIC,false
re2tt,MEM,cases,15,DIAGNOSTIC,false
re2tt,MEM,mi_1_count,15,DIAGNOSTIC,false
re2tt,MEM,mi_1_ratio,1.0,DIAGNOSTIC,false
re2tt,MEM,mi_3_count,15,DIAGNOSTIC,false
re2tt,MEM,mi_3_ratio,1.0,DIAGNOSTIC,false
re2tt,DISK,cases,15,DIAGNOSTIC,false
re2tt,DISK,mi_1_count,15,DIAGNOSTIC,false
re2tt,DISK,mi_1_ratio,1.0,DIAGNOSTIC,false
re2tt,DISK,mi_3_count,14,DIAGNOSTIC,false
re2tt,DISK,mi_3_ratio,0.9333333333333333,DIAGNOSTIC,false
re2tt,SOCKET,cases,15,DIAGNOSTIC,false
re2tt,SOCKET,mi_1_count,15,DIAGNOSTIC,false
re2tt,SOCKET,mi_1_ratio,1.0,DIAGNOSTIC,false
re2tt,SOCKET,mi_3_count,14,DIAGNOSTIC,false
re2tt,SOCKET,mi_3_ratio,0.9333333333333333,DIAGNOSTIC,false
re2tt,DELAY,cases,15,DIAGNOSTIC,false
re2tt,DELAY,mi_1_count,15,DIAGNOSTIC,false
re2tt,DELAY,mi_1_ratio,1.0,DIAGNOSTIC,false
re2tt,DELAY,mi_3_count,15,DIAGNOSTIC,false
re2tt,DELAY,mi_3_ratio,1.0,DIAGNOSTIC,false
re2tt,LOSS,cases,15,DIAGNOSTIC,false
re2tt,LOSS,mi_1_count,15,DIAGNOSTIC,false
re2tt,LOSS,mi_1_ratio,1.0,DIAGNOSTIC,false
re2tt,LOSS,mi_3_count,13,DIAGNOSTIC,false
re2tt,LOSS,mi_3_ratio,0.8666666666666667,DIAGNOSTIC,false
