dataset,scope,statistic,value,evidence_class,confirmatory,interpretation
re2ob,overall,feature_dimension,16,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,overall,empirical_majority_class_accuracy,0.09090909090909091,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_0,top1_accuracy,0.5666666666666667,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_0,macro_f1,0.5658558230051379,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_0,train_event_count,60,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_0,test_event_count,30,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_0,train_rows,660,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_0,test_rows,330,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_1,top1_accuracy,0.603030303030303,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_1,macro_f1,0.5668366505251282,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_1,train_event_count,60,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_1,test_event_count,30,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_1,train_rows,660,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_1,test_rows,330,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_2,top1_accuracy,0.6272727272727273,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_2,macro_f1,0.6042941809848593,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_2,train_event_count,60,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_2,test_event_count,30,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_2,train_rows,660,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2ob,fold_2,test_rows,330,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,overall,feature_dimension,16,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,overall,empirical_majority_class_accuracy,0.014705882352941176,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_0,top1_accuracy,0.12352941176470589,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_0,macro_f1,0.09942973902924146,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_0,train_event_count,60,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_0,test_event_count,30,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_0,train_rows,4080,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_0,test_rows,2040,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_1,top1_accuracy,0.13823529411764707,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_1,macro_f1,0.11875975690594513,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_1,train_event_count,60,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_1,test_event_count,30,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_1,train_rows,4080,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_1,test_rows,2040,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_2,top1_accuracy,0.13480392156862744,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_2,macro_f1,0.11420437186652557,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_2,train_event_count,60,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_2,test_event_count,30,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_2,train_rows,4080,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
re2tt,fold_2,test_rows,2040,DIAGNOSTIC,false,service/telemetry fingerprint risk diagnostic
