dataset,case_id,fold,fault_type,root_service,candidate_count,root_rank,AC@1,AC@2,AC@3,AC@4,AC@5,Avg@5,MRR
re2ob,re2ob-0433b8cb47b1ec8e,0,mem,currencyservice,11,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2ob,re2ob-048f2e7d7bfbc927,1,socket,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-057fe49bd30d47c0,2,cpu,checkoutservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-08f3e5d7b11d1fa7,0,delay,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-097a5d7ac0492007,0,cpu,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-0c582795f6ae4798,2,mem,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-1084f320d8584c61,0,disk,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-1bb2e75872fd9037,0,loss,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-1d19cc60d7a6adc1,0,socket,checkoutservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-1d9a0d1641171551,1,mem,checkoutservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-23213ee605c6b050,1,disk,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-34c4e276dad53220,2,loss,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-35bd9974d6b59069,0,disk,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-3758cb8f0f1277f3,0,mem,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-3827c8c9ef1e8592,1,loss,currencyservice,11,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2ob,re2ob-3e7e71a1c83dbc41,1,socket,currencyservice,11,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2ob,re2ob-40e1893e43abba5c,1,delay,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-428d5ecf570372b5,2,delay,checkoutservice,11,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2ob,re2ob-42e80cf6bcd9400f,2,disk,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-435f42d94b785472,0,socket,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
