comparison,candidate,baseline,dataset,metric,point_delta,ci_lower,ci_upper,resamples,seed,direction,sampling_unit,evidence_class,confirmatory
GLOBAL-OPT_minus_V1,GLOBAL-OPT,V1-SCIENTIFIC,re2ob,AC@1,0.0,0.0,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
GLOBAL-OPT_minus_V1,GLOBAL-OPT,V1-SCIENTIFIC,re2ob,Avg@5,0.0,0.0,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
GLOBAL-OPT_minus_V1,GLOBAL-OPT,V1-SCIENTIFIC,re2ob,MRR,0.0,0.0,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
GLOBAL-OPT_minus_V1,GLOBAL-OPT,V1-SCIENTIFIC,re2tt,AC@1,0.0,0.0,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
GLOBAL-OPT_minus_V1,GLOBAL-OPT,V1-SCIENTIFIC,re2tt,Avg@5,0.0,0.0,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
GLOBAL-OPT_minus_V1,GLOBAL-OPT,V1-SCIENTIFIC,re2tt,MRR,0.0,0.0,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
PER-DATASET-OPT_minus_V1,PER-DATASET-OPT,V1-SCIENTIFIC,re2ob,AC@1,-0.022222222222222223,-0.05555555555555555,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
PER-DATASET-OPT_minus_V1,PER-DATASET-OPT,V1-SCIENTIFIC,re2ob,Avg@5,-0.011111111111111112,-0.026666666666666665,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
PER-DATASET-OPT_minus_V1,PER-DATASET-OPT,V1-SCIENTIFIC,re2ob,MRR,-0.015740740740740743,-0.03796296296296297,0.0,10000,20260829,Candidate - V1,failure case,CANONICAL,false
PER-DATASET-OPT_minus_V1,PER-DATASET-OPT,V1-SCIENTIFIC,re2tt,AC@1,0.07777777777777778,0.0,0.15555555555555556,10000,20260829,Candidate - V1,failure case,CANONICAL,false
PER-DATASET-OPT_minus_V1,PER-DATASET-OPT,V1-SCIENTIFIC,re2tt,Avg@5,0.006666666666666665,-0.03333333333333334,0.04666666666666667,10000,20260829,Candidate - V1,failure case,CANONICAL,false
PER-DATASET-OPT_minus_V1,PER-DATASET-OPT,V1-SCIENTIFIC,re2tt,MRR,0.03577755517298001,-0.013265047709492146,0.08708927613175976,10000,20260829,Candidate - V1,failure case,CANONICAL,false
