feature_index,channel,family,field
0,metric,BASE,magnitude
1,metric,BASE,mean_impact
2,metric,BASE,pre_post_shift
3,metric,BASE,onset_seconds
4,metric,BASE,onset_missing
5,metric,BASE,persistence
6,metric,BASE,coverage
7,metric,BASE,channel_available
8,metric,MORPHOLOGY,normalized_pre_mean
9,metric,MORPHOLOGY,normalized_post_mean
10,metric,MORPHOLOGY,normalized_post_minus_pre_mean
11,metric,MORPHOLOGY,post_peak_time_fraction
12,metric,MORPHOLOGY,post_amplitude_weighted_centroid_fraction
13,metric,MORPHOLOGY,post_ols_slope
14,metric,MORPHOLOGY,post_mean_absolute_adjacent_difference
15,metric,MORPHOLOGY,post_fraction_z_ge_0_5
16,metric,MORPHOLOGY,morphology_active
17,log,BASE,magnitude
18,log,BASE,mean_impact
19,log,BASE,pre_post_shift
20,log,BASE,onset_seconds
21,log,BASE,onset_missing
22,log,BASE,persistence
23,log,BASE,coverage
24,log,BASE,channel_available
25,log,MORPHOLOGY,normalized_pre_mean
26,log,MORPHOLOGY,normalized_post_mean
27,log,MORPHOLOGY,normalized_post_minus_pre_mean
28,log,MORPHOLOGY,post_peak_time_fraction
29,log,MORPHOLOGY,post_amplitude_weighted_centroid_fraction
30,log,MORPHOLOGY,post_ols_slope
31,log,MORPHOLOGY,post_mean_absolute_adjacent_difference
32,log,MORPHOLOGY,post_fraction_z_ge_0_5
33,log,MORPHOLOGY,morphology_active
34,trace-error,BASE,magnitude
35,trace-error,BASE,mean_impact
36,trace-error,BASE,pre_post_shift
37,trace-error,BASE,onset_seconds
38,trace-error,BASE,onset_missing
39,trace-error,BASE,persistence
40,trace-error,BASE,coverage
41,trace-error,BASE,channel_available
42,trace-error,MORPHOLOGY,normalized_pre_mean
43,trace-error,MORPHOLOGY,normalized_post_mean
44,trace-error,MORPHOLOGY,normalized_post_minus_pre_mean
45,trace-error,MORPHOLOGY,post_peak_time_fraction
46,trace-error,MORPHOLOGY,post_amplitude_weighted_centroid_fraction
47,trace-error,MORPHOLOGY,post_ols_slope
48,trace-error,MORPHOLOGY,post_mean_absolute_adjacent_difference
49,trace-error,MORPHOLOGY,post_fraction_z_ge_0_5
50,trace-error,MORPHOLOGY,morphology_active
51,trace-latency,BASE,magnitude
52,trace-latency,BASE,mean_impact
53,trace-latency,BASE,pre_post_shift
54,trace-latency,BASE,onset_seconds
55,trace-latency,BASE,onset_missing
56,trace-latency,BASE,persistence
57,trace-latency,BASE,coverage
58,trace-latency,BASE,channel_available
59,trace-latency,MORPHOLOGY,normalized_pre_mean
60,trace-latency,MORPHOLOGY,normalized_post_mean
61,trace-latency,MORPHOLOGY,normalized_post_minus_pre_mean
62,trace-latency,MORPHOLOGY,post_peak_time_fraction
63,trace-latency,MORPHOLOGY,post_amplitude_weighted_centroid_fraction
64,trace-latency,MORPHOLOGY,post_ols_slope
65,trace-latency,MORPHOLOGY,post_mean_absolute_adjacent_difference
66,trace-latency,MORPHOLOGY,post_fraction_z_ge_0_5
67,trace-latency,MORPHOLOGY,morphology_active
