case_id,fold,root_service,fault_type,root_rank
re2tt-1283c56ed7675282,0,ts-travel-service,delay,7
re2tt-20258ce8dbcd2300,0,ts-travel-service,loss,10
re2tt-2a03e4ad1a1d6f85,0,ts-train-service,cpu,1
re2tt-2ca7cff33586ca18,0,ts-train-service,socket,1
re2tt-2fc3d2fb9c492b7c,0,ts-train-service,mem,1
re2tt-38941ca70beb687a,0,ts-train-service,delay,1
re2tt-420fff915c5f5bc5,0,ts-route-service,mem,1
re2tt-56db4956167f9980,0,ts-travel-service,cpu,1
re2tt-5d2e4747cab0d818,0,ts-order-service,socket,2
re2tt-5f50dc54f6cb9fce,0,ts-route-service,socket,1
re2tt-606ef267348d40e5,0,ts-route-service,delay,1
re2tt-6a0d1ebf31fb52a6,0,ts-auth-service,loss,4
re2tt-722f5f89a57be699,0,ts-travel-service,mem,1
re2tt-72822d018b0df53f,0,ts-order-service,mem,1
re2tt-783d045c8102f972,0,ts-auth-service,delay,1
re2tt-877f6cbd0cb33e7c,0,ts-train-service,loss,1
re2tt-93fbbdf23f58f440,0,ts-route-service,cpu,1
re2tt-94bd05feab03461e,0,ts-route-service,loss,1
re2tt-afdac60e6b000d3c,0,ts-order-service,loss,10
re2tt-b2342b2478b249cb,0,ts-train-service,disk,1
re2tt-b5173d4edf252af8,0,ts-route-service,disk,1
re2tt-bbbcbf7787fa152c,0,ts-auth-service,mem,1
re2tt-bed634aec03e773f,0,ts-travel-service,socket,1
re2tt-c1b234f6cc4acbee,0,ts-auth-service,disk,1
re2tt-c82529d65e13adc0,0,ts-auth-service,socket,1
re2tt-c8fbd9a7d1e92284,0,ts-travel-service,disk,1
re2tt-cdf514b035f34990,0,ts-order-service,disk,1
re2tt-e44ccb97e7cc1570,0,ts-auth-service,cpu,1
re2tt-e4be9aa8e249ddf3,0,ts-order-service,delay,4
re2tt-fe28a6c0dbd7d892,0,ts-order-service,cpu,2
re2tt-04ce93a682b70df6,1,ts-train-service,mem,1
re2tt-14c6e1b70d0c21e5,1,ts-auth-service,loss,18
re2tt-22292d58b67911fb,1,ts-order-service,mem,1
re2tt-2782358136a64e6c,1,ts-auth-service,disk,1
re2tt-2ae0e149b3ab15f1,1,ts-order-service,socket,1
re2tt-35e803c63786ac4e,1,ts-route-service,delay,1
re2tt-3bd96ed8cc02f613,1,ts-train-service,delay,1
re2tt-3fffa88dd3653f99,1,ts-travel-service,socket,9
re2tt-426ec979883ae8dc,1,ts-order-service,delay,1
re2tt-575015aa80c376c6,1,ts-route-service,loss,1
re2tt-67172e499653d426,1,ts-route-service,socket,1
re2tt-714d157727edd2d0,1,ts-route-service,cpu,1
re2tt-739ad24f1e2d7c29,1,ts-travel-service,delay,4
re2tt-7cff180e5ff1cc71,1,ts-train-service,loss,1
re2tt-7d3fb265c1c0f9ed,1,ts-train-service,cpu,1
re2tt-7d84c0b80f7f0032,1,ts-order-service,disk,1
re2tt-a0c0a90c5448e7fa,1,ts-auth-service,cpu,1
re2tt-a7213c3da47edbd0,1,ts-train-service,socket,1
re2tt-aa71e41ec8e7922d,1,ts-auth-service,socket,1
re2tt-ae09714023e727e1,1,ts-auth-service,mem,1
re2tt-bc9cd2d131533d16,1,ts-travel-service,mem,1
re2tt-c7f9112580bfde33,1,ts-train-service,disk,1
re2tt-cb3381bf9ed05034,1,ts-travel-service,loss,15
re2tt-d4b1d66aaaa1a728,1,ts-order-service,cpu,1
re2tt-d83931768111dc58,1,ts-travel-service,disk,1
re2tt-e76e500ff655313b,1,ts-auth-service,delay,39
re2tt-ee2421859dfb0792,1,ts-order-service,loss,1
re2tt-f09cbf3636ad02de,1,ts-travel-service,cpu,1
re2tt-f5512e2434f96386,1,ts-route-service,mem,1
re2tt-fd20b1f93a6ff4c0,1,ts-route-service,disk,1
re2tt-010695b192f8dbea,2,ts-route-service,disk,1
re2tt-01d0096e9a504ced,2,ts-auth-service,loss,26
re2tt-0b529d9f6ca88d4b,2,ts-auth-service,cpu,1
re2tt-0f6b6213169d6acc,2,ts-order-service,socket,1
re2tt-1d48b3aec1ec4470,2,ts-auth-service,disk,1
re2tt-2defd6e102bdaf53,2,ts-train-service,cpu,1
re2tt-3e24ca7f9747c84e,2,ts-travel-service,socket,1
re2tt-406c40ff0016fa9c,2,ts-train-service,mem,1
re2tt-44604ef8713a5943,2,ts-order-service,loss,1
re2tt-472c8339fd3703e9,2,ts-route-service,cpu,1
re2tt-4780a4f90c190bf4,2,ts-travel-service,disk,1
re2tt-5a65eea398ba8435,2,ts-train-service,delay,1
re2tt-5bb89b87741349d7,2,ts-order-service,cpu,2
re2tt-653810995a9aa3db,2,ts-auth-service,mem,1
re2tt-727331fee88d4ce7,2,ts-route-service,loss,1
re2tt-995607e863fb7731,2,ts-order-service,disk,1
re2tt-a141811c79edaa0b,2,ts-route-service,delay,1
re2tt-a33887653c475d04,2,ts-route-service,mem,2
re2tt-cb1f1df38c99005a,2,ts-auth-service,socket,1
re2tt-cc6c772d4116d054,2,ts-auth-service,delay,17
re2tt-d0a74725c5d96362,2,ts-order-service,delay,1
re2tt-d14727a3c74e9768,2,ts-route-service,socket,1
re2tt-e3f89de859062727,2,ts-travel-service,cpu,2
re2tt-e9071bdee1904785,2,ts-travel-service,loss,4
re2tt-f1aa29dd3ba2343f,2,ts-train-service,socket,1
re2tt-f578fe138f6d4c7a,2,ts-travel-service,mem,1
re2tt-fa81461ebec56b42,2,ts-train-service,disk,1
re2tt-fb57d883cd727c81,2,ts-travel-service,delay,3
re2tt-fc53b7fb52199fb7,2,ts-order-service,mem,1
re2tt-ffda523857bbf5c2,2,ts-train-service,loss,1
